GEO.id2,GEO.display-label,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,popchg4201072016,natinc4201072016,births4201072016,deaths4201072016,netmig4201072016,intlmig4201072016,dommig4201072016
48411,"San Saba County, Texas",6133,6042,5983,5708,5828,5944,5944,-187,25,423,398,-215,4,-219
48413,"Schleicher County, Texas",3499,3304,3255,3193,3156,3196,3056,-405,82,226,144,-509,-8,-501
48415,"Scurry County, Texas",16940,16862,17083,17230,17357,17566,17333,412,502,1587,1085,-73,34,-107
48417,"Shackelford County, Texas",3369,3320,3344,3349,3290,3316,3315,-63,16,199,183,-65,20,-85
48419,"Shelby County, Texas",25435,25718,26024,25906,25594,25421,25579,131,466,2266,1800,-281,262,-543
48421,"Sherman County, Texas",3028,3029,3061,3081,3073,3062,3068,34,66,243,177,-24,28,-52
48423,"Smith County, Texas",210465,212691,214774,216515,219669,222478,225290,15569,6621,19123,12502,8634,1669,6965
48425,"Somervell County, Texas",8500,8452,8591,8614,8657,8729,8775,284,9,529,520,247,20,227
48427,"Starr County, Texas",61170,61680,61883,62375,63036,63625,64122,3154,6068,8491,2423,-2992,788,-3780
48429,"Stephens County, Texas",9606,9534,9475,9832,9818,9904,9906,276,-22,663,685,288,24,264
48431,"Sterling County, Texas",1138,1170,1191,1237,1358,1359,1367,224,19,95,76,202,13,189
48433,"Stonewall County, Texas",1495,1478,1467,1429,1400,1412,1426,-64,-52,87,139,-20,6,-26
48435,"Sutton County, Texas",4059,4014,3932,4003,3973,3904,3869,-259,119,320,201,-389,1,-390
48437,"Swisher County, Texas",7891,7832,7878,7750,7586,7513,7466,-388,182,665,483,-558,26,-584
48439,"Tarrant County, Texas",1817687,1848347,1882352,1912501,1944512,1981410,2016872,206258,100948,174686,73738,103586,34552,69034
48441,"Taylor County, Texas",131861,132879,134151,134067,135090,136325,136535,5025,4895,12883,7988,66,2371,-2305
48443,"Terrell County, Texas",1009,952,917,888,905,855,812,-172,0,73,73,-178,12,-190
48445,"Terry County, Texas",12664,12649,12604,12687,12774,12755,12799,148,460,1229,769,-297,95,-392
48447,"Throckmorton County, Texas",1632,1639,1604,1605,1610,1560,1533,-108,-31,89,120,-72,13,-85
48449,"Titus County, Texas",32400,32420,32654,32602,32421,32689,32592,258,1503,3162,1659,-1193,200,-1393
48451,"Tom Green County, Texas",110670,111778,113420,114865,116706,117942,118386,8162,3679,9971,6292,4514,1015,3499
48453,"Travis County, Texas",1030569,1061858,1096122,1120948,1149668,1174818,1199323,174845,68207,99899,31692,104738,30350,74388
48455,"Trinity County, Texas",14710,14660,14313,14395,14231,14421,14442,-233,-438,892,1330,200,-14,214
48457,"Tyler County, Texas",21747,21652,21444,21451,21365,21274,21320,-442,-297,1365,1662,-83,43,-126
48459,"Upshur County, Texas",39377,39754,39943,39797,40283,40481,40969,1653,270,2992,2722,1439,333,1106
48461,"Upton County, Texas",3344,3282,3258,3363,3453,3626,3673,324,127,324,197,210,16,194
48463,"Uvalde County, Texas",26446,26595,26761,26925,27192,27112,27285,880,990,2543,1553,-101,290,-391
48465,"Val Verde County, Texas",49007,48947,48866,48953,48753,48857,48881,2,3301,5478,2177,-3363,631,-3994
48467,"Van Zandt County, Texas",52601,52546,52273,52399,52824,53501,54355,1795,-382,3586,3968,2208,139,2069
48469,"Victoria County, Texas",86861,87467,89076,90075,91088,92237,92467,5674,3302,8160,4858,2424,515,1909
48471,"Walker County, Texas",68208,68340,68492,69314,69833,70507,71484,3623,854,3952,3098,2770,767,2003
48473,"Waller County, Texas",43438,44017,44321,45394,46784,48630,50115,6892,2001,3780,1779,4753,99,4654
48475,"Ward County, Texas",10603,10685,10865,11244,11601,11668,11600,942,398,1096,698,541,20,521
48477,"Washington County, Texas",33718,33970,33939,34224,34495,35005,35056,1356,197,2561,2364,1054,434,620
48479,"Webb County, Texas",251335,255486,259738,263564,266605,268929,271193,20889,26146,34078,7932,-5109,4497,-9606
48481,"Wharton County, Texas",41312,41327,41171,41225,41228,41526,41735,455,867,3450,2583,-438,102,-540
48483,"Wheeler County, Texas",5396,5456,5593,5716,5688,5666,5546,136,71,485,414,58,23,35
48485,"Wichita County, Texas",131807,130858,131804,132501,133073,131522,131838,169,2909,11110,8201,-2834,3135,-5969
48487,"Wilbarger County, Texas",13503,13436,13265,13157,12956,13037,12892,-643,107,1052,945,-731,73,-804
48489,"Willacy County, Texas",22204,22129,22139,21977,21909,21883,21810,-327,912,1929,1017,-1268,167,-1435
48491,"Williamson County, Texas",426415,442278,456352,470822,489143,508059,528718,106181,25004,39047,14043,78981,6215,72766
48493,"Wilson County, Texas",43073,43731,44466,45426,46391,47456,48480,5567,863,3154,2291,4536,89,4447
48495,"Winkler County, Texas",7079,7140,7338,7603,7786,7996,7893,783,412,795,383,359,45,314
48497,"Wise County, Texas",59100,59979,60412,61025,61717,62836,64455,5345,1638,4877,3239,3573,145,3428
48499,"Wood County, Texas",42010,42064,42170,42774,43171,43647,44227,2266,-1219,2576,3795,3404,42,3362
48501,"Yoakum County, Texas",7845,7987,8057,8196,8324,8513,8488,609,580,942,362,23,102,-79
48503,"Young County, Texas",18542,18349,18301,18369,18326,18228,18152,-398,-168,1427,1595,-266,18,-284
48505,"Zapata County, Texas",14075,14195,14235,14358,14338,14397,14349,331,1294,1827,533,-954,26,-980
