district_name,district_id,District,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2007 Total Recapture,2008 Total Recapture,2009 Total Recapture,2010 Total Recapture,2011 Total Recapture,2012 Total Recapture,2013 Total Recapture,2014 Total Recapture,2015 Total Recapture,2016 Total Recapture
SHELDON ISD,101924,101924,4969122,11285676,14441558,7298148,15819310,13462642,5621273,2324142,5871352,2766963,0,763027,4912458,0,4675001,1927982,343862,1574958,1721044,1810732
KARNACK ISD,102901,102901,274402,384858,188252,0,435997,341094,220522,162302,24258,127896,0,0,363771,484069,710842,793023,756890,751881,785260,858982
MARSHALL ISD,102902,102902,2315465,2022144,6996641,204863,327907,948546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WASKOM ISD,102903,102903,354418,1166039,910097,685356,818622,704697,0,0,619615,129375,0,0,0,0,0,0,0,0,0,0
HALLSVILLE ISD,102904,102904,7952402,7063837,7189180,9203509,9141932,6649904,4305473,4336622,3094262,2859162,5299122,2305723,4000990,1268170,0,0,0,0,0,0
ELYSIAN FIELDS ISD,102906,102906,714930,2704386,709909,1087916,1530754,1767511,1528188,1386595,1049774,1197189,0,8966,0,30664,34663,40578,33288,21143,14752,7835
CHANNING ISD,103901,103901,182200,392261,403135,128524,218723,217406,0,0,38559,467666,375509,253439,277116,5232,82171,199285,72657,641672,1179299,716978
HARTLEY ISD,103902,103902,84946,399233,237803,8513,104189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PAINT CREEK ISD,104907,104907,46863,223203,130451,9726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAN MARCOS CISD,105902,105902,5525472,12545047,11632422,4559570,5681981,4750766,971503,0,0,0,0,0,0,0,0,0,0,0,0,0
DRIPPING SPRINGS ISD,105904,105904,2540008,5143500,5522312,3367503,4430307,4061611,1613700,1012236,0,0,2906706,1330597,4120160,728985,1376099,2080966,875069,0,0,0
WIMBERLEY ISD,105905,105905,1442747,3263737,3491590,1983177,1919976,2027097,809733,663744,160622,0,3992952,3142096,4337411,1645079,2082796,2918103,2610703,2185729,2278111,1686573
CANADIAN ISD,106901,106901,800560,3195191,2059301,2279862,2063757,2761528,1445859,529799,910804,1449100,9924744,7453827,8713203,5768186,9093920,8723387,7762264,8542627,8384264,8421304
CROSS ROADS ISD,107904,107904,420019,826144,684729,50845,215051,738023,270658,0,0,0,0,0,0,0,15572,23282,0,0,0,0
MALAKOFF ISD,107906,107906,1527428,2639764,2760443,1555602,2103229,2122762,1108168,914627,762128,776458,1927599,1452292,2159536,1095538,1432392,1820133,1626709,1465511,1800795,1520054
MURCHISON ISD,107908,107908,71170,241318,193009,86220,95127,58732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAPOYNOR ISD,107910,107910,724195,1226426,1067076,1569499,374039,951852,820332,748579,576100,0,1566251,1245958,1500648,755332,71667,649699,191531,0,0,0
COVINGTON ISD,109903,109903,154794,245786,108221,0,119025,38800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALONE ISD,109908,109908,60101,128285,9615,49319,71511,52129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANTON ISD,110901,110901,39935,320067,0,209039,0,22665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEVELLAND ISD,110902,110902,1531397,7440442,4237222,4893478,2589621,3912276,0,1623443,0,4059147,0,7268,0,0,0,0,0,0,0,0
SUNDOWN ISD,110907,110907,3145830,4758845,3130612,4842381,3135374,3776369,1650125,3268418,3007218,4853227,7650763,7381459,9459539,8143249,8260675,8806389,10013224,9952229,8740235,5413577
WHITHARRAL ISD,110908,110908,94186,464839,312790,377531,182097,227590,0,201419,94094,217637,0,0,0,0,0,0,0,10196,0,0
GRANBURY ISD,111901,111901,6313262,12861007,9882945,4443740,8478170,10503585,3794126,6212437,4789995,4179442,730908,1226971,6116470,3855974,9773418,11447646,9413649,7570512,5415282,2879780
LIPAN ISD,111902,111902,109960,327329,230038,0,77255,360239,0,0,0,0,0,0,0,0,50841,37792,7284,17008,10518,0
GRAPELAND ISD,113902,113902,583038,834914,867202,721003,693929,617826,144091,125508,97375,100398,0,0,0,8706,7770,8882,7520,5988,6814,2637
LOVELADY ISD,113903,113903,308544,1085855,627144,350691,298649,72751,0,0,0,320876,0,0,0,0,0,0,5864,18639,27012,34311
KENNARD ISD,113906,113906,230284,1169117,696115,946998,1012265,867736,546101,445410,293821,349114,0,0,0,0,0,0,0,0,0,0
BIG SPRING ISD,114901,114901,917447,3376873,3251829,1535268,1195271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127786
COAHOMA ISD,114902,114902,302268,1083679,346954,976303,24267,155473,0,259725,0,885579,0,0,0,0,0,0,0,0,0,0
FORSAN ISD,114904,114904,678508,1522844,912536,0,1934634,187060,0,1506678,0,2365311,0,17180,287116,821151,2096966,1019432,2496625,3225194,2220897,1706398
SIERRA BLANCA ISD,115902,115902,46318,169951,298311,0,0,34837,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLEMONS-STINNETT-PHILLIPS CISD,117904,117904,658924,939121,2121753,2371690,1797346,957937,356551,770508,1359591,1608253,8067780,8979018,8587065,6092258,4980783,5313380,6282002,6047975,5084529,3879630
SPRING CREEK ISD,117907,117907,37655,163361,22684,94801,151493,81139,0,77911,73382,0,0,0,0,0,12035,17543,0,13438,0,0
IRION COUNTY ISD,118902,118902,360621,949887,741470,1138362,367519,678650,0,0,0,305830,1431341,1970693,3348658,3206424,3448784,4353149,5641805,7307632,11155066,11632911
BRYSON ISD,119901,119901,145010,363756,0,0,598407,220093,0,0,0,305418,0,0,0,0,439311,0,0,0,0,0
JACKSBORO ISD,119902,119902,1018154,3759038,3358270,2574902,1655096,160233,1569381,1519865,941943,631422,0,307107,512513,0,0,1213156,3154649,2885883,3188984,3710463
PERRIN-WHITT CISD,119903,119903,160063,260820,0,0,258451,500191,0,798,0,0,0,0,0,553080,1013859,939988,596642,584009,368657,278817
GANADO ISD,120902,120902,309688,779690,646174,52857,0,0,0,0,0,1672036,0,0,0,0,0,0,0,0,0,18962
INDUSTRIAL ISD,120905,120905,819115,2050837,1520961,1871040,1158949,266171,0,0,0,0,215239,1275,0,0,0,0,0,121153,147814,167543
BROOKELAND ISD,121902,121902,126159,351691,244402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVADALE ISD,121906,121906,390527,724235,500102,70872,445227,0,0,0,0,0,2181481,1078368,1117229,541634,634080,231190,191814,132852,123006,111397
FT DAVIS ISD,122901,122901,916093,1628772,996018,787575,631231,695173,359480,147317,0,192384,0,0,0,0,0,0,0,0,0,46691
NEDERLAND ISD,123905,123905,2066732,3249029,3176457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PORT ARTHUR ISD,123907,123907,3280405,14303679,12064291,7300048,18025269,7700933,1661472,0,1046349,0,0,0,0,0,0,0,0,0,0,0
PORT NECHES-GROVES ISD,123908,123908,3173134,6492117,6208287,8155544,3075655,4977535,79132,464542,507808,0,10783732,8560751,10042210,5503360,1194672,1662924,0,0,0,0
BEAUMONT ISD,123910,123910,17798523,32153863,29943672,19210704,12552709,12421175,0,0,0,0,0,27615,0,0,0,0,0,0,0,0
SABINE PASS ISD,123913,123913,473969,688132,0,1110325,540040,349252,731683,0,348072,687852,3347237,2811213,4452437,3583566,2626510,3214975,3381207,2654328,2656864,2083479
HAMSHIRE-FANNETT ISD,123914,123914,639785,1587658,240003,1342104,468588,45359,0,0,0,0,0,0,0,0,0,0,0,15329,0,0
LA GLORIA ISD,125906,125906,22303,140197,4983,54371,0,9778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALVARADO ISD,126901,126901,1140838,1936980,0,0,2865250,1896553,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLEBURNE ISD,126903,126903,1997969,6162443,2731517,2291868,8818874,4757207,1713448,905803,0,0,0,0,0,0,0,0,0,0,93950,0
GODLEY ISD,126911,126911,1305927,4260986,3306278,1885092,5877776,6097388,4481720,6157492,4566094,4674421,0,0,0,1192402,3552859,2945785,1835725,815489,0,71027
LUEDERS-AVOCA ISD,127905,127905,69778,313455,184654,129137,80080,145046,9717,0,0,46549,0,0,0,0,0,0,0,0,0,8521
KARNES CITY ISD,128901,128901,617335,1500115,1270997,436237,0,0,0,0,0,0,0,0,0,0,0,0,0,26424509,51336459,48900368
KENEDY ISD,128902,128902,268562,723692,361751,0,0,0,0,0,0,254217,0,0,0,0,0,0,0,0,9773863,9200798
RUNGE ISD,128903,128903,211224,654067,348110,71629,208947,0,0,0,0,1487440,0,0,0,0,0,0,0,1905694,5972617,5209249
FALLS CITY ISD,128904,128904,143127,394208,397727,0,0,0,0,0,0,57766,0,0,0,0,0,0,0,634231,6472920,5793982
BOERNE ISD,130901,130901,5071528,10047203,10676017,6365049,6965456,7788618,1898090,1828226,1558761,659274,5397945,5228200,9860709,7275062,7949688,10377959,8279964,7401757,7743188,6117102
COMFORT ISD,130902,130902,1180428,2108932,2405272,1348512,1083386,1365452,655771,279047,130736,0,0,0,0,4512,0,12147,9819,34849,72216,0
KENEDY COUNTY WIDE CSD,131001,131001,72760,324177,291287,0,87710,5172,0,0,0,0,5217447,3967041,5466511,8699467,9568362,8465900,7171128,7350078,6869114,7952165
JAYTON-GIRARD ISD,132902,132902,607834,1152862,588500,1270085,442807,833174,0,650962,509759,1098199,4385693,3326726,4497930,3531869,3924762,4237581,5551549,5693369,5526864,3529571
HUNT ISD,133902,133902,205110,412098,468263,317336,281439,340169,224288,287654,148105,145146,1171924,953089,1192570,1220643,1524420,1707954,1683831,1757325,1935565,2116511
KERRVILLE ISD,133903,133903,3849012,8415704,9322772,4989407,4867940,4599918,2675436,1627937,554278,423030,0,0,0,0,0,0,0,0,0,0
INGRAM ISD,133904,133904,497471,1274158,1105680,70513,66860,19926,0,0,0,0,0,0,0,0,0,0,0,6326,0,0
DIVIDE ISD,133905,133905,72730,102434,105654,118308,118604,60245,74258,81844,52425,11281,35085,42953,121973,118288,105871,112930,107187,90522,102232,92702
JUNCTION ISD,134901,134901,648397,950539,1134731,265018,150876,331217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUTHRIE CSD,135001,135001,287442,1302241,986508,1463741,893206,1159637,76110,871572,612921,754772,716018,851267,904591,562414,73861,410089,364214,722138,301578,284349
RIVIERA ISD,137903,137903,251990,656470,293915,664542,858405,317281,444312,179030,0,0,0,0,0,0,0,0,0,0,0,0
SANTA GERTRUDIS ISD,137904,137904,626938,1858644,1937700,1381108,1406745,1807709,1197568,1286637,1282401,1858289,369541,47059,0,0,0,0,0,0,0,0
CHISUM ISD,139905,139905,755754,1536464,1331358,0,0,805939,0,0,298296,0,1449740,615937,728229,0,1161845,2135991,1636325,1311937,1651589,876225
ROXTON ISD,139908,139908,90981,308305,175692,0,0,23102,0,0,0,0,0,0,0,0,0,0,0,0,0,10282
SUDAN ISD,140908,140908,598677,1430200,1396083,1012232,914691,854052,414859,391682,710609,521971,1236959,804493,771641,24489,21829,38063,77675,70759,259059,56210
COTULLA ISD,142901,142901,453061,2490605,2509802,865610,0,0,0,0,0,0,0,0,0,0,0,0,312473,29336305,54631151,56190696
HALLETTSVILLE ISD,143901,143901,1450242,2693653,2218667,2599753,2820485,2434833,1133883,53345,1121900,1492104,2414131,1893010,2332050,1262263,561029,19628,8529,11825,132199,150708
MOULTON ISD,143902,143902,317758,519253,446022,173152,129165,169415,0,0,0,411809,0,0,0,0,0,0,0,0,2440278,2160551
SHINER ISD,143903,143903,347259,702132,739080,51133,40990,16472,0,0,0,0,0,0,0,0,0,0,0,0,665611,3133402
VYSEHRAD ISD,143904,143904,110888,360955,364772,275342,369997,254317,190435,170929,211836,200862,0,39405,37820,8382,11526,0,0,0,3765,0
SWEET HOME ISD,143905,143905,38572,149007,0,179074,298427,123398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EZZELL ISD,143906,143906,59315,0,100277,139617,134955,107250,42365,0,0,0,851959,846107,847888,639472,420990,329717,280994,201380,303347,213258
GIDDINGS ISD,144901,144901,1199363,1931867,2168809,1348523,256062,1293782,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DIME BOX ISD,144903,144903,259639,236430,485599,394812,13282,209537,91387,282589,0,251196,0,139290,413244,116717,62383,317181,416122,302169,71699,64237
BUFFALO ISD,145901,145901,394392,1448567,539655,2080045,1904435,1289244,569995,0,0,288795,0,0,0,0,0,0,0,0,0,0
CENTERVILLE ISD,145902,145902,353071,986401,524696,133044,0,0,0,0,0,117028,0,0,0,0,0,0,0,0,0,0
NORMANGEE ISD,145906,145906,415461,797994,763749,0,0,0,542209,184064,0,0,0,0,0,0,0,0,369070,0,0,0
OAKWOOD ISD,145907,145907,163276,616113,384620,97471,445691,542262,179686,61354,102809,0,0,0,0,0,178589,172547,75995,0,0,0
LEON ISD,145911,145911,2041963,3884213,3395425,4708221,4974235,4121345,3350294,3393567,2956689,3295567,4002632,3927670,6597689,5424177,3455894,2605418,2145899,1396472,915814,1105799
DEVERS ISD,146903,146903,435174,536630,425626,579449,556558,509920,83962,414340,220131,650979,4847122,4144719,3132000,1859648,1390915,1499654,1753038,1371194,1336648,898595
HULL-DAISETTA ISD,146905,146905,865164,1473094,749941,873517,123765,642551,175966,72056,0,0,0,0,0,0,0,22735,6943,20362,15309,9559
LIBERTY ISD,146906,146906,750414,2842183,2282161,1337387,945440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GROESBECK ISD,147902,147902,1418922,4061565,4182750,4020277,4483603,4815751,3910958,4476536,4053589,4406113,8032772,9368884,12072553,11491884,11024266,9490800,7279621,5726202,4833937,3956282
BOOKER ISD,148901,148901,194952,635566,490418,237798,677478,909694,0,0,0,159049,0,0,0,13769,36159,28698,0,67038,117490,172103
FOLLETT ISD,148902,148902,231994,818027,611743,522592,654905,757819,262469,487374,628035,867063,811177,1050660,1543034,1435407,1507015,1325145,1281451,1414419,1178023,724669
HIGGINS ISD,148903,148903,165993,603436,601143,347953,734097,783191,102678,130173,472753,789689,896012,1236524,1733024,2398086,2111019,1714068,2075726,3101524,3492251,2467572
DARROUZETT ISD,148905,148905,111101,663418,543620,707890,626169,603680,344002,609178,506146,557642,2126665,1242944,1278008,998154,760166,746255,741491,597207,375526,240601
GEORGE WEST ISD,149901,149901,784419,2081356,1144961,856134,1021138,277021,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THREE RIVERS ISD,149902,149902,689525,2002877,2087475,1400946,1540857,175799,0,102577,0,125191,0,246800,817639,370972,843292,1185230,6026329,13412345,17955191,12351071
LLANO ISD,150901,150901,1851568,2377838,2763382,1608656,2083801,2298789,751032,743746,489413,466210,12599164,12100022,15417842,14918253,16356692,17173290,17116735,17362497,17953338,17965925
LUBBOCK-COOPER ISD,152906,152906,1408723,3723718,4439565,1756491,2009151,2292655,632621,0,0,0,0,0,0,0,0,0,0,0,0,0
O'DONNELL ISD,153903,153903,583458,805024,678870,541260,416015,464312,0,0,989861,355102,0,0,0,0,0,0,0,0,56658,0
NORTH ZULCH ISD,154903,154903,229880,395433,309698,401713,0,0,0,0,0,21147,0,0,0,0,0,0,0,893184,1486741,913416
JEFFERSON ISD,155901,155901,1149940,2343405,2067889,1609511,1274538,1426646,781256,0,0,0,0,0,0,6717,0,15485,1205,0,0,0
STANTON ISD,156902,156902,986831,2509409,1319356,768323,852791,688542,0,17508,0,1700193,0,0,0,0,1228902,3129988,6247664,10625174,13719255,13959931
GRADY ISD,156905,156905,422409,862431,558537,633559,430327,523226,0,189696,203620,563645,1882021,2054279,3364947,4095991,5613878,7190203,12370973,15030422,16666173,13448442
TIDEHAVEN ISD,158902,158902,987253,2639137,1596455,719316,0,970252,0,2520787,3107641,2185421,0,376313,491334,768124,2665096,6113323,7503380,5131901,3827666,2793436
MATAGORDA ISD,158904,158904,81330,193034,229606,200967,120192,318874,163500,232745,141680,4469,1625665,1342875,1603483,1354409,1507297,1317306,1117682,930432,998264,1278260
PALACIOS ISD,158905,158905,1300134,5471973,5300987,4047407,4099131,4416368,3411324,3496789,4494169,2084526,4439039,5389875,6381737,4990641,5220814,5474497,4393383,3130437,3517625,1866210
VAN VLECK ISD,158906,158906,541795,1872409,1129714,913704,1542962,1052015,600813,48279,0,0,0,0,0,6926,28270,31405,19573,14070,0,0
MIDWAY ISD,161903,161903,6169124,12050454,11333276,7387344,7918036,7332869,4040785,3647106,1123883,0,2549053,548154,1646060,435005,480104,670112,680090,681690,723131,0
RIESEL ISD,161912,161912,123670,522208,531880,0,0,0,161916,0,551775,1236084,0,0,0,0,0,0,1891037,977831,766631,1434563
HALLSBURG ISD,161924,161924,86859,228087,311090,150455,163945,160343,83260,21510,7880,0,10517,0,0,0,0,0,0,0,0,0
MCMULLEN COUNTY ISD,162904,162904,544691,1431285,911888,1080914,844379,429672,0,0,0,607447,3505051,2385094,2744349,2501042,2244804,2688865,7111226,19928178,34028906,29207956
MIDLAND ISD,165901,165901,6853062,17371762,17656430,10024428,6199176,3508939,0,0,0,0,0,0,0,0,0,0,0,14973074,32077635,47911150
GREENWOOD ISD,165902,165902,549430,2178593,1404328,1382624,472073,952266,0,0,0,0,0,0,0,41590,24571,111699,0,293250,65048,483715
GAUSE ISD,166902,166902,64159,274427,227153,239873,135587,72361,0,0,0,128627,0,0,0,0,0,0,0,0,0,0
ROCKDALE ISD,166904,166904,590585,1614107,734016,0,0,1481843,0,86160,0,1600270,0,0,0,0,0,1297828,465538,0,0,0
GOLDTHWAITE ISD,167901,167901,490753,909830,726884,255071,245589,216269,0,0,0,1162479,0,0,0,0,0,0,0,0,0,42884
MULLIN ISD,167902,167902,150295,221555,238285,58321,51389,48032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STAR ISD,167903,167903,63870,37638,28816,17356,8304,64747,0,17137,0,0,0,0,0,0,0,0,0,0,0,0
LORAINE ISD,168902,168902,62666,206257,0,0,699390,0,0,0,0,0,0,0,0,0,131974,0,0,0,0,0
WESTBROOK ISD,168903,168903,371902,2184674,1013155,2161857,717365,1377958,555723,1639299,1866885,2707955,410269,1120515,1376129,1439125,1643379,2797322,3792941,3652337,3041115,1729147
BOWIE ISD,169901,169901,1225345,2359601,2225256,535858,737427,367555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOLD BURG ISD,169906,169906,76764,292367,174760,71082,5598,32460,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTAGUE ISD,169908,169908,99990,147725,179409,72366,101186,83542,10670,14456,0,0,0,0,0,0,0,0,0,0,0,0
PRAIRIE VALLEY ISD,169909,169909,131578,523271,326798,467475,406818,393799,0,337879,51523,523545,0,27559,191367,180437,142830,195536,199690,378321,262047,257355
FORESTBURG ISD,169910,169910,62892,255460,27343,0,0,0,0,0,0,0,0,0,0,0,0,0,1052427,1971671,1902473,1879437
SAINT JO ISD,169911,169911,239338,548820,114360,154332,181723,0,0,0,0,94364,0,0,0,14264,30934,46775,151649,537834,654976,665166
CONROE ISD,170902,170902,19349850,45025434,51430292,6195476,14023498,10329559,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MONTGOMERY ISD,170903,170903,4621820,8383133,8889930,4648662,6913125,5686354,3085919,783724,0,0,1760132,50880,2015708,74718,101859,138885,119664,107889,229767,0
DUMAS ISD,171901,171901,4345425,9334606,7646975,5087932,7613540,4996183,2082121,1282544,2078604,1096976,2539885,22587,0,0,0,0,0,0,0,0
SUNRAY ISD,171902,171902,582022,1764127,851877,660923,1060521,1271109,436136,559985,625609,441504,386540,317107,207405,254884,379712,318600,11173,12849,26116,0
DAINGERFIELD-LONE STAR ISD,172902,172902,275610,2108524,3192247,1513398,2115679,914890,0,700596,0,0,0,286895,769329,0,0,0,0,18018,0,250193
CHIRENO ISD,174901,174901,286008,511859,431504,0,0,0,0,0,553216,14271,0,0,0,0,0,0,0,26750,28845,72
CUSHING ISD,174902,174902,549491,1982290,1769080,1620379,2146749,2660360,1876665,2029564,556117,1232193,0,743666,1533101,1108602,994546,496721,0,0,0,0
GARRISON ISD,174903,174903,559331,1811006,1124971,1703311,2288403,1419034,1301459,1149690,899866,805913,0,0,0,3475,0,0,0,0,0,0
DOUGLASS ISD,174911,174911,180270,792748,582281,945555,1024307,929167,710778,579360,131913,646060,0,0,0,0,0,0,0,0,0,0
MILDRED ISD,175910,175910,739497,1336015,1298889,959319,1382248,1027205,686595,501458,309155,518531,0,0,0,14814,41358,51873,58474,55552,70678,73545
BURKEVILLE ISD,176901,176901,279846,608718,291708,51674,94172,0,0,0,0,0,0,0,0,0,0,0,0,36194,78594,48041
DEWEYVILLE ISD,176903,176903,588078,1384228,1105421,625976,450971,0,0,0,0,0,552780,5094,6349,0,0,0,645568,385648,685998,523417
ROSCOE COLLEGIATE ISD,177901,177901,323648,544726,0,0,1938248,457619,108774,0,0,0,0,0,0,0,372002,0,0,0,0,0
BLACKWELL CISD,177903,177903,190079,0,1110774,1744295,2050755,1132178,218201,665050,106421,830569,1235351,4364463,6946853,4169506,1825685,1049760,910908,1140650,1208145,1347299
HIGHLAND ISD,177905,177905,182098,174735,0,366921,249671,303072,0,0,0,329014,0,0,19685,1129209,338368,52392,2306,31377,95548,58749
BISHOP CISD,178902,178902,950830,1735020,942995,761706,721712,347483,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRISCOLL ISD,178905,178905,492021,1308856,2055799,1336601,2104011,2238548,1733777,1990586,1767475,1753053,0,0,0,0,0,0,0,0,0,0
LONDON ISD,178906,178906,294035,478159,6457,1196590,1260789,1311109,922518,1527486,1312885,1034998,0,0,0,0,0,0,0,0,0,0
PORT ARANSAS ISD,178908,178908,642072,1856316,1484518,1580551,1653579,1269372,870654,388641,376541,381822,12468061,12395525,14756434,13019029,11813943,12077596,11097918,12596151,14410401,16027258
TULOSO-MIDWAY ISD,178912,178912,1137438,2061140,2624965,0,443635,0,0,0,0,0,0,0,0,0,27254,2279,22543,0,194465,303422
FLOUR BLUFF ISD,178914,178914,2161635,6090310,7267971,1408786,2679941,3828469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PERRYTON ISD,179901,179901,705245,1965420,1658348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1339661
VEGA ISD,180902,180902,295724,217159,194228,588161,241027,268546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADRIAN ISD,180903,180903,58144,171014,193875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WILDORADO ISD,180904,180904,34287,24094,0,762444,85180,0,0,0,0,197508,0,0,0,421803,0,0,0,0,51992,3587
WEST ORANGE-COVE CISD,181906,181906,1812954,2943140,1737709,2559483,0,670983,0,0,0,0,5439881,2400066,1743859,476105,0,769683,1862936,1760854,1690901,1604721
GORDON ISD,182901,182901,103454,380149,323011,240781,322873,340617,187203,189277,0,30814,0,0,0,0,0,0,0,0,0,0
GRAFORD ISD,182902,182902,305641,844675,697519,53186,141419,414630,0,0,0,0,3230511,2803940,2935790,3160551,4275330,4790573,5215837,5607737,6408801,6628280
SANTO ISD,182904,182904,180545,399078,351399,0,0,52806,0,0,0,0,0,0,0,0,11139,11855,14185,23504,34640,39632
PALO PINTO ISD,182906,182906,156551,177770,145771,80531,117737,198822,148174,0,46747,95773,3459947,2792724,3081153,3267849,3613942,3563073,3093695,3680524,3945680,3891113
BECKVILLE ISD,183901,183901,478110,2410903,2588745,2342433,2160530,2624660,1813764,1936456,1761079,1770918,4592031,3983243,3415762,3421008,2810423,2380608,1406434,399204,70417,55750
CARTHAGE ISD,183902,183902,2027502,8052408,7081514,8007989,7625740,8297831,6208395,4528184,4088336,5461802,23493912,19112732,20953939,17685172,15379267,14069106,11360372,11747645,14235343,13497860
GARY ISD,183904,183904,532107,1142560,752455,1424929,1273795,1598776,1181567,1010070,1161013,1373599,0,76869,480890,880074,391836,562610,185816,47083,49481,36476
WEATHERFORD ISD,184903,184903,2660291,4892810,6570877,1132976,3587666,3784638,0,0,0,0,0,0,0,0,490881,467386,503748,416310,518448,495577
MILLSAP ISD,184904,184904,332243,698410,625329,0,0,193981,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALEDO ISD,184907,184907,2057119,5356981,4594158,1929825,2932436,5410471,956970,631635,0,0,0,0,0,0,1517992,3210409,844580,739390,759271,782539
BROCK ISD,184909,184909,431151,843100,882464,288716,0,887055,0,220371,0,0,0,0,0,0,1902,91166,39323,68501,0,0
GARNER ISD,184911,184911,213570,0,439509,630030,365409,319646,143488,255785,0,100821,210699,142544,799819,434980,62070,173881,64874,0,0,94627
LAZBUDDIE ISD,185904,185904,218243,305441,283333,71229,196647,120434,1195,0,0,0,0,0,0,0,0,0,0,0,0,0
BUENA VISTA ISD,186901,186901,167399,647528,195190,675546,364170,384553,0,1075578,104029,406491,1736579,1251032,1613293,1317464,975889,1008698,1951386,1633359,634060,341142
FORT STOCKTON ISD,186902,186902,1688480,7661599,3513155,5101640,5311153,6876831,2442233,5201612,3212821,3606777,11032845,8359717,7796341,7231373,5731897,4175226,0,0,0,0
IRAAN-SHEFFIELD ISD,186903,186903,1200626,2322154,1405922,2724808,1012203,1473823,0,1508630,888370,2813425,9408238,8800326,11115497,10673880,12813563,12670933,14302992,13896081,13700626,8225890
BIG SANDY ISD,187901,187901,571764,708615,652313,545854,209385,496684,0,0,0,376591,378243,0,116370,0,0,0,0,0,0,0
LEGGETT ISD,187906,187906,71458,490966,412670,0,0,148034,203297,0,0,96089,0,0,0,0,0,0,0,0,0,0
HIGHLAND PARK ISD,188903,188903,721647,1899141,2135937,1386453,1078579,764327,255995,545369,126355,0,4244316,2906374,3274863,1952552,1779283,2599624,3105760,2992938,2994377,3225444
BUSHLAND ISD,188904,188904,1112670,3044945,2709648,2083447,1886992,1769408,310024,216280,0,964278,2769178,1771742,1621702,430910,28659,295647,73804,182041,708210,990730
MARFA ISD,189901,189901,486561,833921,731223,284928,207258,234290,196569,0,0,0,0,0,0,0,0,0,0,0,0,0
CANYON ISD,191901,191901,2625227,7035001,7472819,0,816289,593746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REAGAN COUNTY ISD,192901,192901,782938,2787442,2230076,2848716,1280927,1571223,116874,1437271,0,2629223,6474901,6781318,8999549,8295800,8997148,11488784,16577573,18402276,22843015,18621512
LEAKEY ISD,193902,193902,373707,691675,818475,497817,694311,533875,350398,229449,248889,186452,0,5559,319791,91545,540950,757290,541788,406372,430427,282815
PECOS-BARSTOW-TOYAH ISD,195901,195901,1677546,4039248,3134913,2653694,2040321,184630,0,0,0,0,0,0,0,0,0,0,0,5012836,11655091,20571160
AUSTWELL-TIVOLI ISD,196901,196901,665253,1134708,754282,882520,536802,673779,204132,530742,595068,663305,4762048,2827830,2949255,2675358,2944953,2930922,3649777,3690177,3220988,2408115
WOODSBORO ISD,196902,196902,399711,849440,637637,78734,178142,111084,0,0,0,0,0,0,0,0,0,0,0,0,22929,62406
REFUGIO ISD,196903,196903,250081,2506395,1542448,1722228,776107,1656745,0,901279,318510,2066028,0,331457,136581,15727,16907,695411,18443,400089,93301,94876
MIAMI ISD,197902,197902,179639,1005182,726163,837608,953516,1132000,557165,623106,743768,504044,6769829,5792464,6991629,6316952,6096212,5320916,5943808,7082757,7300664,7915510
BREMOND ISD,198901,198901,672042,0,1564648,1097456,2208392,1277047,1139433,1836046,865253,1352996,0,0,2052505,1467712,1000692,190443,371870,0,0,0
CALVERT ISD,198902,198902,86224,287011,0,21631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14088,8200
FRANKLIN ISD,198903,198903,1025483,5912669,1260036,5344562,6361707,6706692,5620651,6099870,5443769,6882644,4742042,6826154,15392194,22406754,21203610,17210656,15190320,12009051,10801247,7772306
