polygons,polygons_in_points_extent,points_in_polgon,percent_in_extent,percent_pip
svi_00_01,101,13681,12.2,16.65
svi_01_02,86,12447,10.39,15.15
svi_02_03,77,8992,9.3,10.94
svi_03_04,64,5729,7.73,6.97
svi_04_05,56,7960,6.76,9.69
svi_05_06,68,7401,8.21,9.01
svi_06_07,71,6460,8.57,7.86
svi_07_08,93,5491,11.23,6.68
svi_08_09,104,8392,12.56,10.21
svi_09_10,108,5622,13.04,6.84
