polygons,polygons_in_points_extent,points_in_polgon,percent_in_extent,percent_pip
demo_0_1000,3073,74170,76.86,64.27
demo_1000_2000,721,24665,18.03,21.37
demo_2000_3000,159,11030,3.98,9.56
demo_3000_4000,27,1895,0.68,1.64
demo_4000_5000,10,1393,0.25,1.21
demo_5000_6000,4,968,0.1,0.84
demo_6000_7000,1,195,0.03,0.17
demo_7000_8000,1,193,0.03,0.17
demo_8000_9000,0,0,0.0,0.0
demo_9000_10000,2,903,0.05,0.78
