polygons,polygons_in_points_extent,points_in_polgon,percent_in_extent,percent_pip
svi_00_01,146,21828,10.39,18.93
svi_01_02,138,14156,9.82,12.28
svi_02_03,138,11821,9.82,10.25
svi_03_04,131,10578,9.32,9.17
svi_04_05,131,9217,9.32,7.99
svi_05_06,146,13433,10.39,11.65
svi_06_07,146,8949,10.39,7.76
svi_07_08,152,9170,10.82,7.95
svi_08_09,145,10262,10.32,8.9
svi_09_10,132,5895,9.4,5.11
