polygons,polygons_in_points_extent,points_in_polgon,percent_in_extent,percent_pip
demo_0_1000,1521,45660,68.61,55.68
demo_1000_2000,524,20182,23.64,24.61
demo_2000_3000,134,10812,6.04,13.18
demo_3000_4000,23,1894,1.04,2.31
demo_4000_5000,9,1393,0.41,1.7
demo_5000_6000,4,968,0.18,1.18
demo_6000_7000,1,195,0.05,0.24
demo_7000_8000,0,0,0.0,0.0
demo_8000_9000,0,0,0.0,0.0
demo_9000_10000,1,903,0.05,1.1
